Company,TypeName,Inches,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price,TouchScreen,IPS
Apple,Ultrabook,13.3,Intel Core i5,8,128,Intel,Mac,1.37,71378,No,Yes
Apple,Ultrabook,13.3,Intel Core i5,8,128,Intel,Mac,1.34,47895,No,No
HP,Notebook,15.6,Intel Core i5,8,256,Intel,Other,1.86,30636,No,No
Apple,Ultrabook,15.4,Intel Core i7,16,512,AMD,Mac,1.83,135195,No,Yes
Apple,Ultrabook,13.3,Intel Core i5,8,256,Intel,Mac,1.37,96095,No,Yes
Acer,Notebook,15.6,AMD,4,500,AMD,Windows,2.1,21312,No,No
Apple,Ultrabook,15.4,Intel Core i7,16,256,Intel,Mac,2.04,114017,No,Yes
Apple,Ultrabook,13.3,Intel Core i5,8,256,Intel,Mac,1.34,61735,No,No
Asus,Ultrabook,14.0,Intel Core i7,16,512,Nvidia,Windows,1.3,79653,No,No
Acer,Ultrabook,14.0,Intel Core i5,8,256,Intel,Windows,1.6,41025,No,Yes
HP,Notebook,15.6,Intel Core i5,4,500,Intel,Other,1.86,20986,No,No
HP,Notebook,15.6,Intel Core i3,4,500,Intel,Other,1.86,18381,No,No
Apple,Ultrabook,15.4,Intel Core i7,16,256,AMD,Mac,1.83,130001,No,Yes
Dell,Notebook,15.6,Intel Core i3,4,256,AMD,Windows,2.2,26581,No,No
Apple,Ultrabook,12.0,Intel Other,8,256,Intel,Mac,0.92,67260,No,Yes
Apple,Ultrabook,13.3,Intel Core i5,8,256,Intel,Mac,1.37,80908,No,Yes
Dell,Notebook,15.6,Intel Core i7,8,256,AMD,Windows,2.2,39693,No,No
Apple,Ultrabook,15.4,Intel Core i7,16,512,AMD,Mac,1.83,152274,No,Yes
Lenovo,Notebook,15.6,Intel Core i3,8,1,Nvidia,Other,2.2,26586,No,No
Dell,Ultrabook,13.3,Intel Core i5,8,128,Intel,Windows,1.22,52161,Yes,Yes
Asus,Other,11.6,Intel Other,2,32,Intel,Windows,0.98,10224,No,No
Lenovo,Gaming,15.6,Intel Core i5,8,1281,Nvidia,Windows,2.5,53226,No,Yes
HP,Notebook,15.6,AMD,4,500,AMD,Other,1.86,13746,No,No
Dell,2 in 1 Convertible,13.3,Intel Core i5,8,256,Intel,Windows,1.62,43636,Yes,No
HP,Ultrabook,15.6,Intel Core i7,8,256,Intel,Windows,1.91,35111,No,No
Dell,Notebook,15.6,Intel Core i3,4,1,Intel,Windows,2.3,22305,No,No
Apple,Ultrabook,13.3,Intel Core i5,8,128,Intel,Mac,1.35,58554,No,No
Dell,Notebook,15.6,Intel Core i5,8,256,AMD,Windows,2.2,42624,No,No
Dell,Ultrabook,15.6,Intel Core i7,8,256256,Intel,Windows,1.88,69157,No,No
HP,Notebook,17.3,Intel Core i5,8,1,Nvidia,Windows,2.5,47738,No,No
Other,Notebook,15.6,Intel Other,4,64,Intel,Windows,1.89,13053,No,No
Asus,Notebook,14.0,AMD,2,32,AMD,Windows,1.65,10602,No,No
HP,Notebook,17.3,AMD,4,500,AMD,Windows,2.71,23389,No,No
Dell,Ultrabook,13.3,Intel Core i7,16,512,Intel,Windows,1.2,99580,Yes,No
Apple,Ultrabook,13.3,Intel Core i5,8,256,Intel,Mac,1.35,53173,No,No
Lenovo,Notebook,14.0,Intel Celeron,4,64,Intel,Windows,1.44,13266,No,No
Acer,Notebook,15.6,Intel Core i3,4,1,Intel,Linux,2.1,19553,No,No
Dell,Notebook,17.3,Intel Core i5,8,1281,AMD,Windows,2.8,52161,No,Yes
HP,Notebook,15.6,Intel Core i5,4,1,Intel,Windows,1.86,26037,No,No
HP,Notebook,15.6,Intel Core i5,8,256,Nvidia,Windows,2.1,46833,No,No
Asus,Notebook,15.6,Intel Core i3,4,1,Intel,Linux,2.0,20725,No,No
Dell,Gaming,15.6,Intel Core i7,16,2561,Nvidia,Windows,2.65,79866,No,Yes
Asus,Notebook,15.6,Intel Core i5,8,1,Nvidia,Linux,2.3,27864,No,No
Acer,Notebook,15.6,Intel Core i5,4,256,Intel,Windows,2.2,36336,No,Yes
Dell,2 in 1 Convertible,17.3,Intel Core i5,12,1,Nvidia,Windows,2.77,53226,Yes,No
Apple,Ultrabook,13.3,Intel Core i5,8,256,Intel,Mac,1.37,75604,No,Yes
Lenovo,Notebook,15.6,Intel Core i3,4,128,Intel,Other,2.2,19660,No,No
Asus,Gaming,17.3,AMD,8,2561,AMD,Windows,3.2,69210,No,No
Dell,Notebook,15.6,Intel Core i5,4,256,AMD,Windows,2.3,34045,No,No
Asus,Notebook,17.3,Intel Other,4,1,Nvidia,Windows,2.8,24828,No,No
Lenovo,2 in 1 Convertible,10.1,Intel Other,4,64,Intel,Other,0.69,16996,Yes,Yes
Acer,Notebook,15.6,Intel Core i7,8,256,Nvidia,Windows,2.2,44808,No,Yes
HP,Notebook,15.6,AMD,4,256,AMD,Windows,1.86,21231,No,No
HP,Notebook,13.3,Intel Core i7,8,512,Intel,Windows,1.49,58767,No,No
Acer,Notebook,15.6,Intel Core i3,4,1,Intel,Windows,2.4,20459,No,No
Dell,Notebook,15.6,Intel Core i7,8,256,AMD,Windows,2.13,40908,No,No
HP,Notebook,15.6,Intel Core i3,4,128,Intel,Windows,1.91,23389,No,No
Asus,Notebook,15.6,Intel Core i5,4,256,Intel,Windows,2.0,31232,No,No
MSI,Gaming,17.3,Intel Core i7,16,2562,Nvidia,Windows,2.43,130482,No,No
Asus,Notebook,15.6,Intel Core i3,4,256,Intel,Linux,2.0,22111,No,No
Dell,Notebook,17.3,Intel Core i7,16,2562,AMD,Windows,2.8,69210,No,No
Dell,Ultrabook,14.0,Intel Core i5,8,256,Intel,Windows,1.7,46833,No,No
Lenovo,Notebook,14.0,Intel Core i3,8,256,Intel,Other,1.7,31914,No,Yes
Asus,Notebook,14.0,Intel Core i5,8,256,Intel,Windows,1.4,50136,No,No
HP,Notebook,15.6,Intel Core i5,8,256,Intel,Windows,1.86,36763,No,No
Asus,Ultrabook,15.6,Intel Core i7,16,512,Nvidia,Windows,1.8,105654,No,No
HP,Notebook,15.6,Intel Core i3,4,500,AMD,Windows,1.86,23373,No,No
HP,Notebook,14.0,Intel Celeron,4,32,Intel,Windows,1.44,12201,No,No
Lenovo,Notebook,15.6,Intel Core i5,4,1,Intel,Windows,1.9,29250,No,No
Asus,Gaming,17.3,Intel Core i7,12,1,Nvidia,Linux,3.0,50562,No,No
Other,Ultrabook,13.5,Intel Core i5,4,128,Intel,Windows,1.252,58021,Yes,No
Dell,Ultrabook,13.3,Intel Core i7,8,256,AMD,Windows,1.4,50882,No,Yes
Dell,Notebook,15.6,Intel Core i7,8,256,AMD,Windows,2.2,46353,No,No
MSI,Gaming,17.3,Intel Core i5,8,1281,Nvidia,Windows,2.7,58341,No,No
Acer,Notebook,14.0,Intel Core i3,8,1,Intel,Windows,2.1,20725,No,No
Asus,Gaming,15.6,Intel Core i7,8,1,Nvidia,Windows,2.2,50562,No,No
Lenovo,Notebook,15.6,Intel Core i5,8,2,Intel,Other,2.2,27652,No,No
Dell,Notebook,15.6,Intel Core i7,8,1281,Intel,Windows,2.02,45554,No,No
Acer,Notebook,15.6,Intel Core i3,4,1,Nvidia,Windows,2.2,28238,No,No
HP,Notebook,17.3,Intel Core i5,8,1281,Nvidia,Windows,2.5,52054,No,No
Dell,Ultrabook,15.6,Intel Core i5,8,256,Intel,Windows,1.88,58403,No,Yes
Apple,Ultrabook,12.0,Intel Core i5,8,512,Intel,Mac,0.92,80452,No,Yes
HP,Notebook,14.0,Intel Core i5,8,256,Intel,Windows,1.63,45820,No,No
Lenovo,Notebook,15.6,AMD,4,128,AMD,Windows,2.2,21258,No,No
Acer,Notebook,15.6,AMD,4,1,AMD,Windows,2.1,21045,No,No
Dell,Gaming,15.6,Intel Core i7,16,1281,Nvidia,Windows,2.65,71874,No,Yes
HP,Ultrabook,15.6,Intel Core i7,8,256,Nvidia,Windows,1.83,37242,No,Yes
HP,Notebook,15.6,Intel Core i5,8,256,Intel,Windows,1.96,31914,No,No
Asus,Gaming,15.6,Intel Core i7,16,1281,Nvidia,Windows,2.2,77202,No,Yes
Dell,Ultrabook,13.3,Intel Core i7,8,256,Intel,Windows,1.21,87858,No,Yes
Asus,Gaming,15.6,AMD,8,1,AMD,Windows,2.45,37242,No,No
Acer,Notebook,15.6,Intel Core i7,8,1,Nvidia,Windows,2.2,36709,No,No
HP,Notebook,13.3,Intel Core i7,16,512,Intel,Windows,1.49,63776,No,No
Dell,Gaming,15.6,Intel Core i5,8,256,Nvidia,Windows,2.65,63669,No,No
Asus,Ultrabook,14.0,Intel Core i7,8,256,Intel,Windows,1.25,55890,No,No
Acer,2 in 1 Convertible,13.3,Intel Core i5,8,256,Intel,Windows,1.5,45128,Yes,Yes
Dell,Notebook,15.6,Intel Core i7,8,1,AMD,Linux,2.2,31962,No,No
Dell,Notebook,15.6,Intel Core i3,4,256,AMD,Linux,2.2,25840,No,No
Asus,Notebook,15.6,Intel Core i3,6,256,Nvidia,Windows,2.0,30742,No,No
HP,Gaming,15.6,Intel Core i7,12,1281,Nvidia,Windows,2.62,66546,No,Yes
HP,Notebook,15.6,Intel Core i7,8,256,AMD,Windows,1.91,38308,No,No
HP,Notebook,15.6,AMD,4,500,AMD,Windows,2.1,18594,No,No
Dell,Notebook,15.6,Intel Core i5,8,1,AMD,Linux,2.2,34472,No,No
HP,Ultrabook,13.3,Intel Core i7,8,256,Nvidia,Windows,1.38,59620,No,Yes
Other,Ultrabook,13.5,Intel Core i5,8,256,Intel,Windows,1.252,71395,Yes,No
HP,Notebook,14.0,Intel Core i5,6,256,Nvidia,Windows,1.58,35111,No,Yes
Lenovo,Notebook,15.6,Intel Core i3,4,1,Intel,Windows,1.85,22105,No,No
Asus,Ultrabook,14.0,Intel Core i7,8,256,Nvidia,Windows,1.3,63563,No,Yes
MSI,Gaming,15.6,Intel Core i7,16,2561,Nvidia,Windows,2.2,69210,No,No
Lenovo,Notebook,14.0,Intel Core i7,8,256,Intel,Windows,1.58,78854,No,Yes
Asus,Ultrabook,15.6,Intel Core i7,16,2561,Nvidia,Windows,1.5,67239,No,No
Dell,Ultrabook,13.3,Intel Core i7,8,256,Intel,Windows,1.23,73473,Yes,No
Lenovo,2 in 1 Convertible,13.3,Intel Core i5,8,256,Intel,Windows,1.37,74538,Yes,Yes
HP,Notebook,14.0,Intel Core i5,4,500,Intel,Windows,1.63,38468,No,Yes
Dell,Ultrabook,13.3,Intel Core i5,8,256,Intel,Windows,1.21,86793,No,Yes
HP,2 in 1 Convertible,13.3,Intel Core i5,8,256,Intel,Windows,1.26,74538,Yes,Yes
HP,Notebook,14.0,Intel Core i7,8,512,Intel,Windows,1.63,57755,No,No
Dell,Notebook,15.6,Intel Core i7,8,2561,Nvidia,Windows,2.16,60223,No,Yes
Asus,Notebook,17.3,Intel Core i3,4,1,Nvidia,Windows,2.0,30049,No,No
Asus,Notebook,15.6,Intel Core i7,8,256,Nvidia,Windows,1.7,59567,No,No
Acer,Notebook,15.6,Intel Core i3,6,1,Intel,Windows,2.1,25521,Yes,Yes
MSI,Gaming,15.6,Intel Core i7,16,2562,Nvidia,Windows,1.8,119427,No,No
Lenovo,Notebook,15.6,Intel Core i5,8,256,Nvidia,Other,2.2,33513,No,No
HP,Notebook,17.3,Intel Core i7,16,512,Nvidia,Windows,2.5,67718,No,No
Acer,Notebook,15.6,AMD,4,256,AMD,Windows,2.1,24029,No,No
HP,Notebook,15.6,Intel Celeron,4,500,Intel,Other,1.86,13799,No,No
HP,Notebook,14.0,Intel Core i5,8,1,Intel,Windows,1.63,43263,No,No
Asus,Notebook,14.0,AMD,4,64,AMD,Windows,1.65,14811,No,No
Dell,Notebook,17.3,Intel Core i7,16,2562,AMD,Windows,2.8,74378,No,No
HP,Notebook,17.3,Intel Core i5,8,256,Intel,Windows,2.5,49443,No,No
Dell,Notebook,15.6,Intel Core i5,8,1,AMD,Windows,2.36,34045,No,No
Dell,Notebook,15.6,Intel Core i3,4,1,AMD,Windows,2.2,23922,No,No
Acer,Ultrabook,14.0,Intel Core i7,8,256,Intel,Windows,1.6,47099,No,Yes
Acer,Notebook,15.6,Intel Core i3,4,256,Nvidia,Windows,2.2,30476,No,No
HP,Notebook,15.6,Intel Core i7,8,1,Intel,Windows,2.05,31861,No,No
HP,Notebook,14.0,Intel Core i7,8,256,Intel,Windows,1.63,52640,No,No
Lenovo,Notebook,15.6,Intel Celeron,4,1,Intel,Other,1.9,13445,No,No
Asus,Gaming,17.3,Intel Core i5,8,1281,Nvidia,Windows,3.0,49976,No,No
Lenovo,Notebook,15.6,Intel Core i5,4,1,Nvidia,Other,2.2,26586,No,No
HP,Notebook,13.3,Intel Core i5,4,256,Intel,Windows,1.32,37242,No,Yes
Acer,Notebook,17.3,Intel Core i3,4,1,Nvidia,Windows,3.0,34898,No,Yes
Lenovo,Notebook,14.0,Intel Core i5,8,256,AMD,Windows,1.75,59461,No,Yes
Lenovo,Gaming,15.6,Intel Core i7,8,256,Nvidia,Other,2.4,46300,No,Yes
Toshiba,Notebook,15.6,Intel Core i5,4,500,Intel,Windows,2.1,32074,No,No
HP,Notebook,15.6,AMD,4,256,AMD,Windows,1.86,19660,No,No
Asus,Ultrabook,14.0,Intel Core i7,8,256,Intel,Windows,1.25,58554,No,No
HP,Ultrabook,12.5,Intel Other,8,512,Intel,Windows,0.97,107305,Yes,Yes
Asus,Notebook,15.6,Intel Celeron,4,1,Intel,Windows,2.0,18328,No,No
MSI,Gaming,17.3,Intel Core i7,16,2561,Nvidia,Windows,2.9,108105,No,No
Acer,Notebook,15.6,Intel Core i3,4,1,Intel,Windows,2.1,23816,No,No
Dell,Gaming,15.6,Intel Core i7,16,512,Nvidia,Windows,2.56,66560,No,No
Dell,Gaming,15.6,Intel Core i7,8,10,Nvidia,Windows,2.62,47898,No,No
Lenovo,Notebook,15.6,Intel Core i5,4,128,Intel,Windows,1.9,26533,No,No
MSI,Gaming,17.3,Intel Core i7,16,2561,Nvidia,Windows,2.8,100699,No,No
HP,Ultrabook,14.0,Intel Core i5,4,256,Intel,Windows,1.48,57648,No,No
HP,Notebook,15.6,Intel Core i5,6,256,AMD,Windows,1.91,32980,No,No
Lenovo,2 in 1 Convertible,14.0,Intel Core i3,4,256,Intel,Windows,1.74,33513,Yes,Yes
Asus,2 in 1 Convertible,13.3,Intel Core i5,8,256,Intel,Windows,1.1,70063,Yes,No
Dell,2 in 1 Convertible,15.6,Intel Core i7,8,256,Intel,Windows,1.56,55890,Yes,No
Toshiba,Notebook,15.6,Intel Core i3,4,500,Intel,Windows,2.1,23816,No,No
Asus,Notebook,15.6,AMD,4,1,AMD,Windows,2.03,21471,No,No
Acer,Notebook,17.3,Intel Core i5,4,256,Nvidia,Windows,3.0,42890,No,Yes
Dell,Notebook,15.6,Intel Core i5,8,256,AMD,Windows,2.13,38787,No,No
Lenovo,Gaming,15.6,Intel Core i7,16,256,Nvidia,Windows,2.5,57489,No,Yes
Acer,Notebook,15.6,Intel Celeron,4,1,Intel,Windows,2.1,18541,No,No
MSI,Gaming,15.6,Intel Core i7,16,2561,Nvidia,Windows,2.4,95850,No,Yes
Acer,Notebook,15.6,Intel Other,4,1,Intel,Windows,2.1,19367,No,No
Dell,Gaming,15.6,Intel Core i7,8,1281,Nvidia,Windows,2.56,56502,No,No
Acer,Notebook,17.3,Intel Core i5,8,256,Nvidia,Windows,3.0,45501,No,Yes
HP,Notebook,13.3,Intel Core i5,4,500,Intel,Windows,1.49,40173,No,Yes
Other,Ultrabook,13.0,Intel Core i5,8,256,Intel,Windows,1.05,71874,No,Yes
HP,Notebook,17.3,Intel Core i5,6,2,AMD,Windows,2.71,37242,No,Yes
Lenovo,Notebook,15.6,AMD,4,500,AMD,Other,2.2,16463,No,No
Toshiba,Notebook,15.6,Intel Core i3,4,500,Intel,Windows,2.0,26053,No,No
HP,Notebook,17.3,Intel Core i5,8,256,Nvidia,Windows,2.5,49177,No,No
Dell,Notebook,15.6,Intel Core i3,8,1,Intel,Windows,2.3,24455,No,No
Acer,Notebook,15.6,Intel Core i3,4,128,Intel,Windows,2.1,23922,No,No
MSI,Gaming,18.4,Intel Core i7,32,5121,Nvidia,Windows,4.4,149130,No,No
Lenovo,Notebook,15.6,Intel Core i5,8,1281,AMD,Windows,1.9,43316,No,No
HP,2 in 1 Convertible,13.3,Intel Core i5,8,256,Intel,Windows,1.29,79866,Yes,Yes
Dell,Notebook,15.6,Intel Core i7,16,2562,AMD,Linux,2.02,55890,No,No
Dell,Ultrabook,13.3,Intel Core i5,8,256,Intel,Windows,1.23,74538,No,No
Lenovo,2 in 1 Convertible,13.9,Intel Core i7,16,512,Intel,Windows,1.4,98514,Yes,Yes
Toshiba,Notebook,15.6,Intel Core i5,8,128,Intel,Windows,2.0,42251,No,No
Other,Notebook,15.6,Intel Core i5,8,256,Nvidia,Other,1.95,63882,No,Yes
Dell,Notebook,17.3,Intel Core i7,16,512,Nvidia,Windows,2.77,82530,Yes,No
Dell,Notebook,15.6,Intel Core i7,16,512,Nvidia,Windows,2.06,127712,Yes,No
Lenovo,Gaming,15.6,Intel Core i5,8,256,Nvidia,Other,2.4,41505,No,Yes
Acer,Ultrabook,13.3,Intel Core i5,8,256,Intel,Windows,1.12,52693,No,Yes
Dell,Notebook,17.3,Intel Core i7,8,1281,AMD,Windows,2.8,57808,No,No
Lenovo,2 in 1 Convertible,14.0,Intel Core i7,16,1,Intel,Windows,1.42,150462,Yes,No
Other,Notebook,14.0,Intel Celeron,4,32,Intel,Windows,1.3,13852,No,Yes
Other,Ultrabook,13.3,Intel Core i5,8,256,Nvidia,Other,1.3,53274,No,Yes
Lenovo,Notebook,17.3,Intel Core i5,8,256,Nvidia,Other,2.8,37189,No,No
Dell,2 in 1 Convertible,13.3,Intel Core i7,8,1,Intel,Windows,1.62,44701,Yes,Yes
HP,Notebook,17.3,Intel Core i5,8,1,Nvidia,Windows,2.5,48697,No,Yes
Other,Gaming,17.3,Intel Core i7,32,1,Nvidia,Windows,3.49,324954,Yes,No
HP,Notebook,13.3,Intel Core i5,8,512,Intel,Windows,1.49,51095,No,No
HP,Gaming,17.3,Intel Core i7,16,2561,Nvidia,Windows,3.35,73473,No,Yes
HP,Notebook,17.3,Intel Core i7,8,256,Nvidia,Windows,2.5,55677,No,No
Dell,Gaming,15.6,Intel Core i7,16,5121,Nvidia,Windows,2.65,98301,No,Yes
Lenovo,Notebook,15.6,Intel Core i5,4,128,Intel,Windows,2.1,26267,No,No
Acer,Notebook,15.6,Intel Core i7,8,1,Nvidia,Windows,2.23,39533,No,No
Lenovo,Gaming,15.6,Intel Core i7,16,5121,Nvidia,Windows,3.2,93186,No,Yes
Dell,Other,15.6,Intel Other,16,2561,Nvidia,Windows,2.8,162770,No,No
Lenovo,Gaming,15.6,Intel Core i7,16,512,Nvidia,Other,2.4,74485,No,No
Dell,Notebook,15.6,Intel Core i3,6,1,Intel,Windows,2.3,23389,Yes,No
Dell,Ultrabook,13.3,Intel Core i7,8,256,Intel,Windows,1.21,103842,Yes,Yes
Dell,Ultrabook,13.3,Intel Core i7,8,256,Intel,Windows,1.2,77202,No,No
Lenovo,Notebook,15.6,Intel Core i5,8,256,Intel,Windows,2.2,31808,No,No
Acer,Notebook,15.6,Intel Core i7,8,1,Nvidia,Linux,2.4,41505,No,No
Asus,Gaming,17.3,Intel Core i7,16,2561,Nvidia,Windows,2.9,74964,No,No
HP,Notebook,15.6,Intel Core i3,4,500,Intel,Other,2.1,18594,No,No
Lenovo,Notebook,15.6,Intel Core i5,8,256,Intel,Other,2.2,29250,No,No
Other,Ultrabook,13.0,Intel Core i7,8,512,Intel,Windows,1.05,79866,No,Yes
Dell,Ultrabook,13.3,Intel Core i7,8,256,AMD,Windows,1.4,49650,No,Yes
Lenovo,Notebook,17.3,Intel Core i5,8,1,Nvidia,Other,2.8,31381,No,No
HP,Notebook,14.0,Intel Core i7,8,256,Nvidia,Windows,1.63,54931,No,No
Dell,Ultrabook,14.0,Intel Core i5,8,256,Intel,Windows,1.6,61218,No,No
Dell,2 in 1 Convertible,13.3,Intel Core i7,16,512,Intel,Windows,1.62,68145,Yes,No
Dell,Notebook,15.6,Intel Core i5,8,256,AMD,Linux,2.2,36089,No,No
Lenovo,2 in 1 Convertible,14.0,Intel Core i5,8,256,Intel,Windows,1.74,47898,No,Yes
Toshiba,Ultrabook,13.3,Intel Core i7,8,256,Intel,Windows,1.2,72620,No,No
HP,Notebook,15.6,Intel Core i5,8,1,Intel,Windows,2.1,42304,No,No
Dell,Gaming,17.3,Intel Core i7,16,2561,Nvidia,Windows,4.42,130873,No,Yes
Acer,Notebook,15.6,Intel Core i7,8,256,Nvidia,Windows,2.2,44328,No,No
Dell,Notebook,15.6,Intel Core i7,16,1,AMD,Windows,2.3,45768,Yes,No
Asus,Notebook,15.6,Intel Core i5,8,256,Nvidia,Windows,2.0,40972,No,No
Asus,Notebook,17.3,Intel Core i5,8,256500,Nvidia,Windows,2.69,47472,No,No
HP,Notebook,15.6,Intel Core i7,8,1,AMD,Windows,1.9,67612,No,No
Asus,Notebook,15.6,Intel Core i3,4,1,Intel,Windows,2.37,21258,No,No
HP,Notebook,15.6,AMD,4,500,AMD,Windows,2.1,17582,No,No
Lenovo,Gaming,15.6,Intel Core i7,16,2561,Nvidia,Windows,3.2,79866,No,Yes
Dell,Notebook,14.0,Intel Core i5,8,256,Intel,Windows,1.6,45767,No,No
Acer,2 in 1 Convertible,13.3,Intel Core i5,8,256,Intel,Windows,1.6,36709,Yes,Yes
Dell,Notebook,15.6,Intel Core i7,16,256,AMD,Linux,2.36,47898,No,No
Acer,Notebook,15.6,Intel Core i3,4,1,Intel,Linux,2.1,20779,No,No
Asus,Notebook,15.6,AMD,4,1281,AMD,Windows,2.2,30636,No,No
Asus,Gaming,17.3,Intel Core i7,32,5121,Nvidia,Windows,4.7,207259,No,No
Acer,Gaming,15.6,Intel Core i5,8,256,Nvidia,Windows,2.5,45074,No,Yes
Lenovo,Notebook,15.6,Intel Core i3,8,128,Intel,Windows,2.2,31381,No,No
Asus,Notebook,17.3,Intel Core i7,8,1281,Nvidia,Windows,2.1,61005,No,No
Asus,Notebook,17.3,Intel Core i7,8,1281,Nvidia,Other,2.69,47365,No,No
Dell,Gaming,15.6,Intel Core i5,8,256,Nvidia,Windows,2.56,46833,No,No
Lenovo,2 in 1 Convertible,13.9,Intel Core i7,8,256,Intel,Windows,1.38,57489,Yes,Yes
Dell,Notebook,15.6,Intel Core i7,8,1282,AMD,Windows,2.2,52480,No,No
HP,Notebook,15.6,Intel Core i5,8,1,Intel,Windows,2.04,29783,Yes,No
Asus,Gaming,17.3,Intel Core i7,16,256,Nvidia,Windows,3.6,159786,No,No
HP,Notebook,13.3,Intel Core i5,4,500,Intel,Windows,1.49,35964,No,Yes
Apple,Ultrabook,13.3,Intel Core i5,8,512,Intel,Mac,1.37,108691,No,Yes
Dell,2 in 1 Convertible,15.6,Intel Core i7,8,1,Intel,Windows,2.08,43636,Yes,Yes
Asus,Gaming,17.3,Intel Core i7,16,2561,Nvidia,Windows,4.3,95850,No,No
Asus,Notebook,15.6,AMD,4,1,AMD,Windows,1.68,24988,No,No
Lenovo,2 in 1 Convertible,13.9,Intel Core i7,8,512,Intel,Windows,1.37,98514,Yes,Yes
Acer,Notebook,17.3,Intel Core i3,4,256,Nvidia,Windows,3.0,37402,No,Yes
Dell,Ultrabook,13.3,Intel Core i5,8,256,Intel,Windows,1.41,50562,No,No
